morpheme,category
pres part,verb_derivational
past part,verb_derivational
fut part,verb_derivational
irrealis_unlikely,verb_mood
irrealis_likely,verb_mood
irrealis_desiderative,verb_mood
irrealis_dubitative,verb_mood
irrealis_hypothetical,verb_mood
irrealis_presumptive,verb_mood
hortative,verb_mood
conditional,verb_mood
negative,verb_mood
imperative,verb_mood
optative,verb_mood
ability,verb_mood
know_how_to,verb_mood
deontic_necessity,verb_mood
permission,verb_mood
epistemic_possibility,verb_mood
epistemic_necessity,verb_mood
malicious_intent,verb_attitudinal
completely,verb_attitudinal
accidental,verb_attitudinal
disposal,verb_attitudinal
self_benefit,verb_attitudinal
addressee_benefit,verb_attitudinal
other_benefit,verb_attitudinal
socially_upward,verb_attitudinal
socially_downward,verb_attitudinal
good_thing,verb_attitudinal
bad_thing,verb_attitudinal
expected_thing,verb_attitudinal
unexpected_thing,verb_attitudinal
witness,verb_evidentiality
sensory_observation,verb_evidentiality
experiential_evidence,verb_evidentiality
inference,verb_evidentiality
assumption,verb_evidentiality
hearsay,verb_evidentiality
very_uncertain,verb_mood
somewhat_uncertain,verb_mood
somehwat_certain,verb_mood
very_certain,verb_mood
plural,noun_number
paucal,noun_number
many,noun_number
nom,noun_case
gen,noun_case
dat,noun_case
inst,noun_case
acc,noun_case
loc,noun_case
present,verb_tense
past,verb_tense
distant_past,verb_tense
recent_past,verb_tense
near_future,verb_tense
future,verb_tense
distant_future,verb_tense
experience,verb_aspect
continuous,verb_aspect
imperfect,verb_aspect
perfect,verb_aspect
causative,verb_valence
passive,verb_valence
middle,verb_valence
1s,verb_number
1p,verb_number
2s,verb_number
2p,verb_number
3s,verb_number
3p,verb_number
1d,verb_number
2d,verb_number
3d,verb_number
one,verb_number
possessive,adjective
comparative,adjective
superlative,adjective
diminutive,adjective
augmentative,adjective
noun_to_verb,derivational
noun_to_adj,derivational
verb_to_noun,derivational
verb_to_adj,derivational
adj_to_noun,derivational
adj_to_verb,derivational
relative_clause,derivational
