meaning,category
There is (…),narrative
We can see (…),narrative
It looks like (…),narrative
(Person) is at (place),narrative
(Person) is (verb)ing,narrative
(Noun) is (adjective),narrative
(Noun) is (verb)ing,narrative
There is a (adjective) (noun),narrative
(Person) has to (…),narrative
(Person) wants to (…),narrative
Maybe it’s because (…),narrative
"First, (…). Then, (…). Finally, (…)",narrative
"Suddenly, (…)",narrative
(Person) didn’t realize that…,narrative
I don’t know (…),narrative
I think that (sentence).,narrative
Do you think that (sentence)?,narrative
