word,lemma,category
Ability,,propn_
Additional,,propn_
Adventurers,,propn_
Akmenos,,propn_
Akta,,propn_
Alignment,,propn_
Amnon,,propn_
Anakis,,propn_
Angels,,propn_
Asmodeus,,propn_
Avenger,,propn_
Barakas,,propn_
Bard,,propn_
Bardic,,propn_
Bloodline,,propn_
Bonus,,propn_
Brimstone,,propn_
Bryseis,,propn_
Cantrips,,propn_
Chant,,propn_
Charisma,,propn_
Class,,propn_
College,,propn_
Colleges,,propn_
Common,,propn_
Connection,,propn_
Constitution,,propn_
Countercharm,,propn_
Creation,,propn_
Creed,,propn_
Criella,,propn_
DC,,propn_
DDB,,propn_
DM,,propn_
Damaia,,propn_
Damakos,,propn_
Dark,,propn_
Despair,,propn_
Dexterity,,propn_
Dice,,propn_
Ea,,propn_
Ekemon,,propn_
Erin,,propn_
Evans,,propn_
Excellence,,propn_
Expertise,,propn_
Fear,,propn_
Female,,propn_
Focus,,propn_
Font,,propn_
Giant,,propn_
Handbook,,propn_
Hellish,,propn_
Hells,,propn_
Hero,,propn_
Hit,,propn_
Hope,,propn_
Iados,,propn_
Ideal,,propn_
Improvement,,propn_
Infernal,,propn_
Insp,,propn_
Inspiration,,propn_
Intelligence,,propn_
Jack,,propn_
Kairon,,propn_
Kallista,,propn_
League,,propn_
Legacy,,propn_
Lerissa,,propn_
Leucis,,propn_
Level,,propn_
Lore,,propn_
MISTRUST,,propn_
MUTUAL,,noun_
Magic,,propn_
Magical,,propn_
Makaria,,propn_
Male,,propn_
Medium,,propn_
Melech,,propn_
Mordai,,propn_
Morthos,,propn_
Most,,adj_
Music,,propn_
Names,,propn_
Nemeia,,propn_
Nine,,propn_
Open,,propn_
Orianna,,propn_
PLAYTEST,,propn_
Peerless,,propn_
Pelaios,,propn_
People,,noun_
Perception,,propn_
Phelaia,,propn_
Player,,propn_
Poetry,,propn_
Points,,propn_
Proficiencies,,propn_
Quest,,propn_
Random,,propn_
Resistance,,propn_
Rest,,propn_
Reverence,,propn_
Rieta,,propn_
Rules,,propn_
Saving,,propn_
Secrets,,propn_
Session,,propn_
Skamos,,propn_
Skill,,propn_
Song,,propn_
Spell,,propn_
Spellcasting,,propn_
Spells,,propn_
Spirit,,propn_
Spirits,,propn_
Spiritual,,propn_
Superior,,propn_
Tale,,propn_
Tales,,propn_
Temerity,,propn_
Therai,,propn_
Tools,,propn_
Torment,,propn_
Traits,,propn_
UA,,propn_
Virtue,,propn_
Warrior,,propn_
Weary,,propn_
Whispers,,propn_
Wisdom,,propn_
a,,det_
ability,,noun_
able,,adj_
about,,adp_
above,,adp_
accompany,,verb_
accomplish,,verb_
accomplishment,,noun_
accountable,,adj_
acquire,,verb_
across,,adp_
act,,verb_
action,,noun_
actual,,adj_
add,,verb_
addition,,noun_
additional,,adj_
additionally,,adv_
adopt,,verb_
advanced,,adj_
advantage,,noun_
adventure,,noun_
adventurer,,noun_
advisor,,noun_
affair,,noun_
affect,,verb_
after,,adp_
afterlife,,noun_
again,,adv_
against,,adp_
age,,noun_
ago,,adv_
air,,noun_
alignment,,noun_
all,,det_
ally,,noun_
almost,,adv_
already,,adv_
also,,adv_
always,,adv_
among,,adp_
an,,det_
ancient,,adj_
and,,cconj_
animal,,noun_
another,,det_
antelope,,noun_
any,,det_
anyone,,pron_
anything,,pron_
apart,,adv_
appear,,verb_
appearance,,noun_
applause,,noun_
apprenticeship,,noun_
aptitude,,noun_
area,,noun_
armor,,noun_
around,,adp_
art,,noun_
as,,sconj_
ask,,verb_
assemble,,verb_
association,,noun_
assume,,verb_
at,,adp_
attack,,noun_
attacker,,noun_
attempt,,noun_
attend,,verb_
audience,,noun_
authority,,noun_
available,,adj_
avenge,,verb_
aware,,adj_
awe,,noun_
b,,noun_
background,,noun_
ball,,noun_
ballad,,noun_
bang,,verb_
bard,,noun_
bardic,,propn_
bargain,,noun_
base,,verb_
be,,aux_
bear,,verb_
beast,,noun_
beauty,,noun_
because,,sconj_
become,,verb_
before,,adp_
befriend,,verb_
begin,,verb_
behind,,adp_
being,,noun_
benefit,,noun_
bestow,,verb_
between,,adp_
beyond,,adp_
bit,,noun_
black,,adj_
blame,,verb_
blatantly,,adv_
blinded,,adj_
bloodline,,noun_
blue,,adj_
board,,noun_
boast,,verb_
bolster,,verb_
bonus,,noun_
bravery,,noun_
break,,verb_
breathe,,verb_
briefly,,adv_
bright,,adj_
broad,,adj_
brown,,adj_
build,,verb_
burden,,noun_
but,,cconj_
by,,adp_
c,,noun_
call,,verb_
calling,,noun_
campaign,,noun_
can,,verb_
candle,,noun_
canine,,noun_
cantrip,,noun_
capable,,adj_
career,,noun_
carrion,,noun_
cascade,,verb_
cast,,verb_
casting,,noun_
category,,noun_
cavort,,verb_
celestial,,noun_
certain,,adj_
change,,noun_
channel,,verb_
channeling,,noun_
chant,,adj_
chaotic,,adj_
character,,noun_
charm,,verb_
charmed,,adj_
check,,noun_
child,,noun_
childhood,,noun_
choice,,noun_
choose,,verb_
cittern,,noun_
city,,noun_
claim,,verb_
class,,noun_
classroom,,noun_
claws,,noun_
clear,,adj_
clever,,adj_
close,,adj_
clutch,,noun_
coil,,verb_
cold,,adj_
collect,,verb_
college,,noun_
color,,noun_
coloration,,noun_
column,,noun_
combat,,noun_
come,,verb_
comment,,noun_
common,,adj_
companion,,noun_
competence,,noun_
complete,,adj_
composition,,noun_
concept,,noun_
condition,,noun_
conduct,,verb_
cone,,noun_
confidence,,noun_
confinement,,noun_
confuse,,noun_
conjure,,verb_
connection,,noun_
conspiracy,,noun_
construct,,verb_
contact,,verb_
contain,,verb_
content,,noun_
control,,noun_
corruption,,noun_
cosmo,,noun_
cost,,noun_
could,,verb_
count,,verb_
court,,noun_
cover,,verb_
create,,verb_
creature,,noun_
crime,,noun_
crossbow,,noun_
crystal,,noun_
culture,,noun_
cure,,noun_
curiosity,,noun_
curl,,verb_
curse,,noun_
cut,,verb_
dagger,,noun_
damage,,noun_
dark,,noun_
darkness,,noun_
darkvision,,noun_
deafen,,verb_
deal,,verb_
dear,,adj_
decide,,verb_
decipher,,noun_
deck,,noun_
deed,,noun_
defend,,verb_
